"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","371","Get exercise","LMS service","2026-07-07","passed","2026-07-07","Get entity","Exercises","",""
"","23","Create exercise","LMS service","2026-07-07","passed","2026-07-07","Create entity","Exercises","",""
"","321","Login with correct email and password","LMS service","2026-07-07","passed","2026-07-07","Login","Authentication","",""
"","29","Create course","LMS service","2026-07-07","passed","2026-07-07","Create entity","Courses","",""
"","308","Create file","LMS service","2026-07-07","passed","2026-07-07","Create entity","Files","",""
"","306","Create file with empty directory","LMS service","2026-07-07","passed","2026-07-07","Validate entity","Files","",""
"","420","Update course","LMS service","2026-07-07","passed","2026-07-07","Update entity","Courses","",""
"","326","Get exercises","LMS service","2026-07-07","passed","2026-07-07","Get entities","Exercises","",""
"","306","Create file with empty filename","LMS service","2026-07-07","passed","2026-07-07","Validate entity","Files","",""
"","307","Get file with incorrect file id","LMS service","2026-07-07","passed","2026-07-07","Validate entity","Files","",""
"","23","Delete file","LMS service","2026-07-07","passed","2026-07-07","Delete entity","Files","",""
"","13","test_get_user_me","LMS service","2026-07-07","passed","2026-07-07","Get entity","Users","",""
"","23","Update exercise","LMS service","2026-07-07","passed","2026-07-07","Update entity","Exercises","",""
"","23","Delete exercise","LMS service","2026-07-07","passed","2026-07-07","Delete entity","Exercises","",""
"","25","Get courses","LMS service","2026-07-07","passed","2026-07-07","Get entities","Courses","",""
"","627","Create user","LMS service","2026-07-07","passed","2026-07-07","Create entity","Users","",""
"","17","Get file","LMS service","2026-07-07","passed","2026-07-07","Get entities","Files","",""
"","325","Create user","LMS service","2026-07-07","passed","2026-07-07","Create entity","Users","",""
"","592","Create user","LMS service","2026-07-07","passed","2026-07-07","Create entity","Users","",""
